Neighborhood,Units,YearBuilt,SqFt,Borough,ValuePerSqFt
FINANCIAL,42,1920,36500,Manhattan,200
FINANCIAL,78,1985,126420,Manhattan,242.76
FINANCIAL,282,1930,249076,Manhattan,271.23
TRIBECA,239,1985,219495,Manhattan,247.48
TRIBECA,133,1986,139719,Manhattan,191.37
TRIBECA,109,1985,105000,Manhattan,211.53
TRIBECA,107,1986,87479,Manhattan,222.33
TRIBECA,247,1987,255845,Manhattan,259.21
TRIBECA,121,1985,106129,Manhattan,205.62
TRIBECA,154,1986,126008,Manhattan,222.34
TRIBECA,546,1987,586224,Manhattan,222.02
TRIBECA,182,1988,208281,Manhattan,205.61
TRIBECA,293,1988,341489,Manhattan,205.46
TRIBECA,117,2003,267723,Manhattan,231.99
TRIBECA,234,2006,431824,Manhattan,207.68
TRIBECA,304,1985,257848,Manhattan,247.48
TRIBECA,256,2006,434398,Manhattan,231.54
TRIBECA,,1985,237725,Manhattan,239.97
FINANCIAL,13,1920,37236,Manhattan,224.38
FINANCIAL,452,1956,316810,Manhattan,256.13
FINANCIAL,162,1982,231300,Manhattan,186.9
FINANCIAL,320,2005,477747,Manhattan,222.23
FINANCIAL,382,1914,648926,Manhattan,239.72
FINANCIAL,107,1836,159544,Manhattan,273.77
FINANCIAL,350,1929,346789,Manhattan,225.7
FINANCIAL,126,1987,96902,Manhattan,174.36
FINANCIAL,40,1920,65396,Manhattan,100.51
FINANCIAL,31,1900,20308,Manhattan,184.71
FINANCIAL,347,1987,422833,Manhattan,197.93
FINANCIAL,121,1956,109468,Manhattan,198.94
FINANCIAL,20,1902,39607,Manhattan,224.38
FINANCIAL,90,1893,73507,Manhattan,179.1
FINANCIAL,408,1928,548976,Manhattan,216.4
FINANCIAL,13,1900,21069,Manhattan,88.99
FINANCIAL,12,1913,,Manhattan,102.85
FINANCIAL,102,1903,71985,Manhattan,224.38
FINANCIAL,160,2007,215467,Manhattan,183.93
FINANCIAL,29,1920,28550,Manhattan,155.83
FINANCIAL,145,1927,186512,Manhattan,239.72
FINANCIAL,113,1967,112213,Manhattan,239.72
FINANCIAL,221,1931,214364,Manhattan,174.9
FINANCIAL,14,1982,24362,Manhattan,196.58
FINANCIAL,156,2000,142626,Manhattan,175.07
FINANCIAL,441,2003,348157,Manhattan,222.33
FINANCIAL,11,1900,31738,Manhattan,194.18
FINANCIAL,19,1930,28775,Manhattan,130.36
FINANCIAL,14,1930,17122,Manhattan,229.06
FINANCIAL,14,1910,22613,Manhattan,214.26
FINANCIAL,73,1909,89994,Manhattan,216.09
FINANCIAL,21,1900,66930,Manhattan,183.86
FINANCIAL,67,1906,66575,Manhattan,183.87
SOUTHBRIDGE,210,1896,196837,Manhattan,152.5
SOUTHBRIDGE,9,1923,20883,Manhattan,150.36
SOUTHBRIDGE,163,1940,191740,Manhattan,169.26
SOUTHBRIDGE,22,1983,37170,Manhattan,161.88
SOUTHBRIDGE,18,1900,23044,Manhattan,149.97
SOUTHBRIDGE,15,1910,25825,Manhattan,174.37
SOUTHBRIDGE,15,1999,20091,Manhattan,174.36
SOUTHBRIDGE,125,1900,168889,Manhattan,162.51
