Type,Alcohol,Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280_OD315,Proline
A,14.57,2.33,2.68,17.05,127.72,3.75,3.64,1.16,2.78,7.34,1.97,5.05,1088.22
A,14.81,2.5,3,15.74,133.34,3.07,4.85,1.08,3.59,7.7,1.06,4.84,1141.44
A,14.89,2.37,2.58,15.96,133.13,3.03,3.59,1.02,3.86,7.15,1.32,5.41,1195.69
A,14.32,2.21,2.96,18.42,129.87,3.68,3.56,0.88,2.52,6.95,1.74,4.53,1075.75
A,14.31,2.63,2.76,15.61,135.01,3.42,3.14,0.56,3.76,8.6,1.05,5.16,1096.86
A,14.81,2.67,2.98,15.94,135.12,3.14,4.5,0.39,2.36,6.63,1.11,4.89,1162.2
A,14.95,1.85,2.44,17.45,134.53,3.3,4.25,0.32,2.66,8.03,1.21,4.16,1223.03
A,14.97,2.18,2.67,15.77,130.32,2.98,3.77,0.38,3.66,7.99,1.11,5.63,1135.56
A,15.01,2.7,2.63,18.32,133.43,3.42,3.19,0.32,4.03,8.36,1.14,5.1,1229.83
A,14.71,2.52,3.33,17.85,127.47,3.5,3.51,0.34,3.15,5.84,1.64,4.36,1206.23
A,14.8,2.31,3.28,17.95,127.55,3.31,4.44,0.99,3.93,6.94,1.97,5.44,1181.59
A,14.95,1.97,3.02,17.83,128.35,3.36,3.84,1.02,2.78,8.29,1.91,5.83,1163.74
A,14.47,1.72,3.06,16.71,127.36,3.62,4.66,0.9,3.11,8.44,1.05,5.35,1239.74
A,14.54,2.44,2.58,17.61,131,3.29,3.14,0.35,3.53,7.99,2.02,4.14,1198.7
A,14.8,2.12,3.37,15.69,134.09,3.06,4.26,0.45,3.94,6.78,1.51,5.69,1166.7
A,15.12,2.06,2.46,16.99,135.65,3.47,4.07,0.71,3.75,8.42,1.75,4.62,1102.4
A,15.22,2.13,2.89,16.09,133.62,2.85,3.76,0.36,3.37,6.48,1.69,4.08,1239.74
A,14.44,1.84,2.68,16.19,128.82,2.87,3.81,0.86,3.38,7.21,1.27,4.97,1079
A,15.03,1.8,2.73,17.21,135.24,3.16,3.92,1.01,3.14,8.4,1.82,4.17,1079.64
A,14.34,2.04,2.85,16.54,127.38,3.38,3.54,1.05,2.33,6.02,1.11,4.11,1087.65
A,13.26,2.35,2.46,11.62,103.12,3.38,3.9,0.4,2.29,6.44,1.17,3.91,1175.72
A,13.33,2.46,2.37,14.09,103.71,3.65,4.72,1.2,2.04,4.67,1.52,4.63,1156.6
A,13.26,2.24,2.51,13.04,105.61,2.69,4.61,0.96,3.17,6.85,1.16,4.42,1228.43
A,13.32,2.25,3.04,12.45,101.89,3.2,4.46,1.06,3.06,6.69,1.12,4.8,1162.55
A,13.28,1.88,2.93,11.37,100.05,3.01,3.42,1.07,1.7,6.34,1.17,4.98,1131.02
A,14.02,2.22,2.59,12.96,104.05,3.1,3.53,0.7,2.29,5.83,1.06,3.75,1078.08
